draw,mu_1,sigma
446,0.08658188581466675,0.471699982881546
447,0.08309358358383179,0.41757556796073914
448,0.0877414122223854,0.456373006105423
449,0.11090461164712906,0.4003714919090271
450,0.032868944108486176,0.4523955285549164
451,-0.02296597696840763,0.4576171338558197
452,0.030859308317303658,0.4597972631454468
453,0.1163892075419426,0.4229030907154083
454,0.06382086873054504,0.4782428741455078
455,0.017733760178089142,0.44980520009994507
456,0.017453275620937347,0.4500470757484436
457,0.006394924595952034,0.45130455493927
458,-0.03251509368419647,0.4898437559604645
459,0.034923236817121506,0.4568611979484558
460,-0.0030586812645196915,0.45873141288757324
461,-0.026146551594138145,0.43223726749420166
462,-0.002201404422521591,0.4507557451725006
463,-0.0012556333094835281,0.4405485987663269
464,0.005939651280641556,0.4621056020259857
465,0.009438280016183853,0.45673930644989014
466,0.043211691081523895,0.43831562995910645
467,0.07792162150144577,0.42675647139549255
468,-0.0017134621739387512,0.4080297648906708
469,0.029220467433333397,0.43462130427360535
470,0.051401905715465546,0.41698452830314636
471,-0.016989341005682945,0.4573151469230652
472,0.01559469848871231,0.4412906765937805
473,0.06359389424324036,0.4829931855201721
474,0.015896188095211983,0.4265483021736145
475,0.017773043364286423,0.4611804187297821
476,0.08263910561800003,0.4020809233188629
477,0.013551760464906693,0.5013580918312073
478,-0.005576590076088905,0.43624812364578247
479,0.021716730669140816,0.4103744924068451
480,-0.03549696505069733,0.46971040964126587
481,0.024046029895544052,0.45787176489830017
482,0.004357263445854187,0.4470953643321991
483,0.016392212361097336,0.4967610836029053
484,0.0066034384071826935,0.4510304033756256
485,0.04460969567298889,0.45610103011131287
486,0.07620759308338165,0.43720313906669617
487,0.013767312280833721,0.4286078214645386
488,0.054071031510829926,0.40421581268310547
489,0.04712093621492386,0.42544296383857727
490,-8.940696716308594e-06,0.41622868180274963
491,-0.019193923100829124,0.43190672993659973
492,0.0562913715839386,0.4551784098148346
493,0.03642081469297409,0.45817795395851135
494,0.06357328593730927,0.4354158043861389
495,0.04841526597738266,0.43087607622146606
496,-0.013068301603198051,0.4637734591960907
497,0.062340036034584045,0.4611208736896515
498,0.025270722806453705,0.4369644224643707
499,0.0343443788588047,0.4992709755897522
500,-0.04605577886104584,0.4536520540714264
501,-0.03609505295753479,0.4773731529712677
502,0.10582128912210464,0.4811501204967499
503,0.029846252873539925,0.4613659381866455
504,0.03844960406422615,0.4562273919582367
505,-0.03484576195478439,0.46420586109161377
506,0.036308880895376205,0.4448421597480774
507,0.06974124908447266,0.4517514109611511
508,0.012974978424608707,0.43036752939224243
509,0.04789368435740471,0.4192950129508972
510,0.09972480684518814,0.44823193550109863
511,0.04891977086663246,0.432890921831131
512,0.03679210692644119,0.419463574886322
513,-0.011093990877270699,0.4557756185531616
514,-0.03540611267089844,0.42442554235458374
515,0.01558122131973505,0.4407176971435547
516,0.006833499297499657,0.44008758664131165
517,-0.0024583302438259125,0.46119368076324463
518,0.04527152702212334,0.4888853132724762
519,0.042290255427360535,0.464575856924057
520,0.0327821783721447,0.510717511177063
521,0.06837568432092667,0.4401831030845642
522,0.06494341790676117,0.39657020568847656
523,0.03178082033991814,0.48054027557373047
524,-0.00556585006415844,0.4616401493549347
525,-0.010664379224181175,0.4663783311843872
526,0.026250870898365974,0.48796069622039795
527,0.017602192237973213,0.43240979313850403
528,0.009968068450689316,0.4219796657562256
529,0.04503382742404938,0.4748646914958954
530,0.05012844502925873,0.44443559646606445
531,0.01047464832663536,0.4132295250892639
532,0.050788603723049164,0.42083442211151123
533,0.03413579612970352,0.4653339385986328
534,0.011622905731201172,0.39887115359306335
535,0.04774625226855278,0.4202740490436554
536,0.03841601312160492,0.4590982496738434
537,0.014815310016274452,0.42278674244880676
538,-0.00292208231985569,0.43392184376716614
539,-0.009297868236899376,0.45047876238822937
540,6.68354332447052e-05,0.4468388855457306
541,0.006756167858839035,0.4665088653564453
542,0.03448702394962311,0.43194380402565
543,0.033255353569984436,0.43971407413482666
544,0.03664064779877663,0.4809129238128662
545,0.05708923935890198,0.4290488660335541
546,-0.014456255361437798,0.444364458322525
547,0.04152516648173332,0.4294394254684448
548,-0.0017670877277851105,0.39448726177215576
549,0.0038405265659093857,0.4473159611225128
550,-0.0017655324190855026,0.4690999984741211
551,0.05007459595799446,0.442185640335083
552,0.06299246102571487,0.4093942642211914
553,0.0019882209599018097,0.4044041931629181
554,0.0069746822118759155,0.4618426263332367
555,-0.04338128864765167,0.4212251901626587
556,0.06151336431503296,0.4559337794780731
557,0.1222027838230133,0.4358595311641693
558,0.014082346111536026,0.4628188908100128
559,0.01334272138774395,0.47051355242729187
560,0.03836928308010101,0.42298969626426697
561,0.007041836157441139,0.4553646147251129
562,0.1182648092508316,0.49450668692588806
563,0.03162754327058792,0.4141712188720703
564,0.09950954467058182,0.5024412870407104
565,0.06470842659473419,0.39867404103279114
566,0.08602520078420639,0.4486241042613983
567,-0.03219234198331833,0.4722442328929901
568,0.019678995013237,0.46460914611816406
569,0.0045025888830423355,0.44693389534950256
570,0.0672554075717926,0.4673595428466797
571,-0.04590962082147598,0.45564183592796326
572,0.07747578620910645,0.4470866322517395
573,0.09586414694786072,0.42656034231185913
574,0.07417638599872589,0.485174298286438
575,0.012673469260334969,0.4220699965953827
576,-0.04528054594993591,0.462056964635849
577,0.09595389664173126,0.4500262141227722
578,0.007585173472762108,0.4795887768268585
579,0.07919350266456604,0.42612698674201965
580,0.07425439357757568,0.46065056324005127
581,0.001587051898241043,0.4698621928691864
582,0.03165725618600845,0.44591936469078064
583,-0.023936757817864418,0.42051389813423157
584,0.12217959016561508,0.45456573367118835
585,0.04100436717271805,0.46122947335243225
586,0.002552427351474762,0.419376015663147
587,0.014237922616302967,0.4450332224369049
588,-0.06877242028713226,0.4031818211078644
589,0.03958950936794281,0.47978514432907104
590,0.06349259614944458,0.42366793751716614
591,0.0232861265540123,0.4625830054283142
592,0.057776860892772675,0.4421461224555969
593,0.018566463142633438,0.4066365659236908
594,-0.011844133958220482,0.4134940207004547
595,0.04249787703156471,0.43284985423088074
596,-0.03884325921535492,0.4168052077293396
597,-0.012077944353222847,0.44439005851745605
598,0.025259757414460182,0.44443491101264954
599,-0.01755291409790516,0.42690879106521606
600,0.11969821155071259,0.4553215801715851
601,0.007306462153792381,0.43842315673828125
602,0.053242988884449005,0.4079969823360443
603,0.016620971262454987,0.4602607488632202
604,0.05790677294135094,0.4837261736392975
605,-0.012569809332489967,0.46290427446365356
606,0.06179624795913696,0.4396483302116394
607,0.053137533366680145,0.45310166478157043
608,0.008657027035951614,0.4357658624649048
609,-0.008128559216856956,0.4471946656703949
610,0.002249564975500107,0.43560174107551575
611,0.05643099546432495,0.4747316539287567
612,-0.005617665126919746,0.49241507053375244
613,-0.003699691966176033,0.4171159267425537
614,0.0027007441967725754,0.4450365900993347
615,0.01573280058801174,0.4482216238975525
616,0.021792251616716385,0.44483837485313416
617,-0.03156575560569763,0.4184456765651703
618,-0.0010149944573640823,0.4235503375530243
619,0.04449816048145294,0.4464091956615448
620,-0.04203739017248154,0.4531506896018982
621,-0.014008814468979836,0.4660769999027252
622,-0.006967248395085335,0.4223935306072235
623,0.06296272575855255,0.39503127336502075
624,0.046134233474731445,0.4101775884628296
625,0.011567477136850357,0.4457332193851471
626,0.05005474388599396,0.40601903200149536
627,0.028143106028437614,0.4388654828071594
628,-0.018479352816939354,0.43968549370765686
629,0.07689028978347778,0.4508588910102844
630,-0.03406638652086258,0.44849124550819397
631,0.041661862283945084,0.45317214727401733
632,0.04506693780422211,0.3875744044780731
633,-0.02569958008825779,0.40106678009033203
634,0.008528200909495354,0.4862355887889862
635,-0.0958414077758789,0.40060746669769287
